taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6
Otu0298;0;FALSE;FALSE;FALSE;FALSE
Otu0299;Inf;TRUE;TRUE;TRUE;TRUE
Otu0300;0;FALSE;FALSE;FALSE;FALSE
Otu0301;0;FALSE;FALSE;FALSE;FALSE
Otu0302;Inf;TRUE;TRUE;TRUE;TRUE
Otu0304;0;FALSE;FALSE;FALSE;FALSE
Otu0307;0;FALSE;FALSE;FALSE;FALSE
Otu0309;0;FALSE;FALSE;FALSE;FALSE
Otu0311;0;FALSE;FALSE;FALSE;FALSE
Otu0312;0;FALSE;FALSE;FALSE;FALSE
Otu0313;0;FALSE;FALSE;FALSE;FALSE
Otu0314;0;FALSE;FALSE;FALSE;FALSE
Otu0315;0;FALSE;FALSE;FALSE;FALSE
Otu0318;0;FALSE;FALSE;FALSE;FALSE
Otu0319;0;FALSE;FALSE;FALSE;FALSE
Otu0322;0;FALSE;FALSE;FALSE;FALSE
Otu0324;0;FALSE;FALSE;FALSE;FALSE
Otu0325;0;FALSE;FALSE;FALSE;FALSE
Otu0327;0;FALSE;FALSE;FALSE;FALSE
Otu0328;0;FALSE;FALSE;FALSE;FALSE
Otu0329;0;FALSE;FALSE;FALSE;FALSE
Otu0331;Inf;TRUE;TRUE;TRUE;TRUE
Otu0332;0;FALSE;FALSE;FALSE;FALSE
Otu0334;0;FALSE;FALSE;FALSE;FALSE
Otu0337;0;FALSE;FALSE;FALSE;FALSE
Otu0338;0;FALSE;FALSE;FALSE;FALSE
Otu0340;0;FALSE;FALSE;FALSE;FALSE
Otu0342;0;FALSE;FALSE;FALSE;FALSE
Otu0344;Inf;TRUE;TRUE;TRUE;TRUE
Otu0345;0;FALSE;FALSE;FALSE;FALSE
Otu0346;0;FALSE;FALSE;FALSE;FALSE
Otu0347;0;FALSE;FALSE;FALSE;FALSE
Otu0350;0;FALSE;FALSE;FALSE;FALSE
Otu0353;0;FALSE;FALSE;FALSE;FALSE
Otu0355;0;FALSE;FALSE;FALSE;FALSE
Otu0356;0;FALSE;FALSE;FALSE;FALSE
Otu0360;0;FALSE;FALSE;FALSE;FALSE
Otu0365;Inf;TRUE;TRUE;TRUE;TRUE
Otu0366;0;FALSE;FALSE;FALSE;FALSE
Otu0367;0;FALSE;FALSE;FALSE;FALSE
Otu0368;0;FALSE;FALSE;FALSE;FALSE
Otu0369;Inf;TRUE;TRUE;TRUE;TRUE
Otu0375;Inf;TRUE;TRUE;TRUE;TRUE
Otu0376;Inf;TRUE;TRUE;TRUE;TRUE
Otu0380;0;FALSE;FALSE;FALSE;FALSE
Otu0381;0;FALSE;FALSE;FALSE;FALSE
Otu0386;0;FALSE;FALSE;FALSE;FALSE
Otu0388;0;FALSE;FALSE;FALSE;FALSE
Otu0392;0;FALSE;FALSE;FALSE;FALSE
Otu0395;0;FALSE;FALSE;FALSE;FALSE
Otu0397;0;FALSE;FALSE;FALSE;FALSE
Otu0402;0;FALSE;FALSE;FALSE;FALSE
Otu0405;0;FALSE;FALSE;FALSE;FALSE
Otu0409;0;FALSE;FALSE;FALSE;FALSE
Otu0410;0;FALSE;FALSE;FALSE;FALSE
Otu0414;0;FALSE;FALSE;FALSE;FALSE
Otu0420;0;FALSE;FALSE;FALSE;FALSE
Otu0421;Inf;TRUE;TRUE;TRUE;TRUE
Otu0422;Inf;TRUE;TRUE;TRUE;TRUE
Otu0423;0;FALSE;FALSE;FALSE;FALSE
Otu0424;0;FALSE;FALSE;FALSE;FALSE
Otu0425;0;FALSE;FALSE;FALSE;FALSE
Otu0426;Inf;TRUE;TRUE;TRUE;TRUE
Otu0427;0;FALSE;FALSE;FALSE;FALSE
Otu0432;Inf;TRUE;TRUE;TRUE;TRUE
Otu0434;0;FALSE;FALSE;FALSE;FALSE
