"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"Otu0087";14,8415535302256;0,629673192441695;2,22616262339601;0,282851390021601;0,777290758598328;0,998932861296266
"Otu0088";0,645991721787208;1,1423915731632;2,39393413017696;0,47720259248685;0,633217865229855;0,998932861296266
"Otu0089";1,00919595620846;-1,87533924579732;1,90307458897734;-0,985426034617527;0,324414846658583;0,998932861296266
"Otu0090";2,61872978038971;-1,74534433911644;2,2059622532691;-0,791194108842952;0,428830728728787;0,998932861296266
"Otu0091";1,95906660238111;-2,19393271035624;2,71963555949021;-0,806700994440403;0,419838771057526;0,998932861296266
"Otu0092";2,05308336853425;1,90409902225939;2,38611513460119;0,797991259787904;0,424875562159521;0,998932861296266
"Otu0093";12,3480474321657;3,06288155201209;1,98149241040045;1,54574478102245;0,122166217612192;0,998932861296266
"Otu0094";30,079339158836;-0,477139692313901;1,57455080090128;-0,303032262941776;0,761865274581287;0,998932861296266
"Otu0095";2,90812252070971;-3,0009582369178;2,51567586742277;-1,19290337669462;0,232907216644359;0,998932861296266
"Otu0096";0,249087867418802;0,406929527897281;3,01722545777479;0,134868783785681;0,892715620938263;0,998932861296266
"Otu0097";1,7122475096661;-2,09070622997797;2,33298782756264;-0,89614965208036;0,370172841584084;0,998932861296266
"Otu0098";1,08391403894448;-3,45964436258489;2,89110491183974;-1,19665126935271;0,231442508218515;0,998932861296266
"Otu0099";1,89203005264008;-1,80357383369709;1,78900250800522;-1,00814494425059;0,31338488392889;0,998932861296266
"Otu0100";0,615872601350327;-0,793235440101418;2,79918337593406;-0,283381019950764;0,776884776218331;0,998932861296266
"Otu0101";0,992611193015215;0,418602657284473;2,37375207630902;0,176346410167385;0,860021803254542;0,998932861296266
"Otu0103";1,08279833059786;1,99738934014106;2,73842889889094;0,729392441392215;0,465761640073888;0,998932861296266
"Otu0104";6,1908486167606;1,27771438269251;2,00996269749289;0,635690594798724;0,524978107776174;0,998932861296266
"Otu0105";0,68026550727841;1,28059018258024;2,18365090160845;0,586444555600424;0,557576810131928;0,998932861296266
"Otu0106";14,9396769759965;0,911546378926001;2,09537384315587;0,435028041369988;0,663542073570038;0,998932861296266
"Otu0107";8,05747736864871;0,119258558141709;2,15275703900284;0,0553980574588901;0,955821343386162;0,998932861296266
"Otu0108";2,89276850256275;0,911834033868493;2,23483779958637;0,408009043894487;0,683267035215973;0,998932861296266
"Otu0110";1,75733500400269;1,76038033143561;2,16463661912651;0,81324519592853;0,416077491472315;0,998932861296266
"Otu0111";1,57415616848796;-1,6616335918316;1,92392819338303;-0,863667156366053;0,387770760866757;0,998932861296266
"Otu0112";9,35075949507864;-0,871610939951221;1,31883411023772;-0,660895053581918;0,508679618445646;0,998932861296266
"Otu0113";4,71979814088794;1,7798350360384;1,9735803841335;0,90183052605675;0,367146901274633;0,998932861296266
"Otu0114";6,10453876171086;0,137224136681613;2,31482822059879;0,05928048373547;0,952728705496795;0,998932861296266
"Otu0115";8,01878002126817;1,52669311533925;2,27999863584711;0,669602644201593;0,503111128005598;0,998932861296266
"Otu0116";0,901419252085576;-0,436109061350925;2,77646707889821;-0,157073377410254;0,875187018862683;0,998932861296266
"Otu0119";2,09329228904767;-0,659464124894406;2,40570082835435;-0,274125575849562;0,783988119690218;0,998932861296266
"Otu0120";1,44239184082762;-3,52905026178234;2,65033241037409;-1,33155005310607;0,183008086961173;0,998932861296266
"Otu0121";1,17660802120496;-0,671108779255159;2,37350492709867;-0,282750110013679;0,777368400678578;0,998932861296266
"Otu0122";7,24193352855104;0,916699731088806;1,74203112176565;0,526224657892264;0,598732123598724;0,998932861296266
"Otu0123";10,2391865667679;1,64105202398298;2,05018465279009;0,80044108307497;0,42345528617659;0,998932861296266
"Otu0124";8,1915080250358;0,650117852054038;2,19553734454756;0,29610876520436;0,767147020334652;0,998932861296266
"Otu0125";2,27046805937778;0,980665650609655;2,75085010403897;0,356495488129208;0,72146953040004;0,998932861296266
"Otu0127";1,7358488104815;3,79066092247047;2,24374056179677;1,68943815832029;0,0911354936342322;0,998932861296266
"Otu0128";0,459553975851807;0,429941416199702;3,00169098331838;0,143233070488955;0,886106112612341;0,998932861296266
"Otu0130";2,45529837263526;2,67529964784526;2,71908892104742;0,983895608244656;0,325166843277934;0,998932861296266
